Replicate,Pond zone,Invertebrate count
1,Ground,14
2,Ground,11
3,Beach,4
4,Beach,4
5,Beach,15
6,Beach,2
7,Beach,7
8,Beach,11
9,Beach,9
10,Beach,11
11,Beach,3
12,Ground,13
13,Ground,9
14,Ground,8
15,Ground,14
16,Beach,12
17,Emergent,70
18,Emergent,64
19,Emergent,55
20,Emergent,60
21,Emergent,52
22,Beach,12
23,Beach,9
24,Beach,1
25,Beach,8
26,Beach,6
27,Beach,2
28,Ground,15
29,Ground,3
30,Beach,10
31,Emergent,70
32,Emergent,60
33,Emergent,54
34,Emergent,61
35,Emergent,61
36,Emergent,61
37,Emergent,57
38,Beach,9
39,Beach,3
40,Beach,15
41,Beach,14
42,Beach,11
43,Beach,15
44,Submerged vegetation,107
45,Submerged vegetation,87
46,Submerged vegetation,104
47,Submerged vegetation,130
48,Submerged vegetation,92
49,Submerged vegetation,100
50,Submerged vegetation,112
51,Emergent,55
52,Emergent,51
53,Open water,3
54,Open water,9
55,Beach,14
56,Beach,1
57,Beach,9
58,Submerged vegetation,123
59,Submerged vegetation,119
60,Submerged vegetation,113
61,Submerged vegetation,127
62,Submerged vegetation,107
63,Submerged vegetation,93
64,Submerged vegetation,96
65,Submerged vegetation,122
66,Submerged vegetation,82
67,Submerged vegetation,122
68,Open water,8
69,Beach,1
70,Beach,1
71,Beach,14
72,Submerged vegetation,109
73,Submerged vegetation,124
74,Submerged vegetation,94
75,Submerged vegetation,80
76,Submerged vegetation,114
77,Submerged vegetation,102
78,Submerged vegetation,89
79,Submerged vegetation,111
80,Submerged vegetation,85
81,Submerged vegetation,117
82,Submerged vegetation,82
83,Beach,8
84,Beach,6
85,Beach,3
86,Open water,7
87,Open water,11
88,Open water,4
89,Open water,1
90,Open water,4
91,Open water,7
92,Submerged vegetation,86
93,Submerged vegetation,105
94,Submerged vegetation,85
95,Submerged vegetation,91
96,Submerged vegetation,80
97,Open water,3
98,Beach,13
99,Beach,13
100,Open water,13
101,Open water,10
102,Open water,3
103,Open water,14
104,Open water,6
105,Open water,14
106,Open water,8
107,Open water,2
108,Open water,7
109,Open water,3
110,Open water,1
111,Open water,7
112,Beach,4
113,Beach,6
114,Open water,11
115,Lily,44
116,Lily,58
117,Lily,50
118,Lily,53
119,Open water,3
120,Open water,6
121,Open water,13
122,Open water,3
123,Open water,7
124,Open water,2
125,Open water,13
126,Beach,6
127,Beach,1
128,Lily,42
129,Lily,41
130,Lily,43
131,Lily,56
132,Lily,50
133,Lily,52
134,Lily,49
135,Open water,3
136,Open water,3
137,Open water,4
138,Open water,9
139,Open water,10
140,Beach,10
141,Beach,1
142,Lily,46
143,Lily,57
144,Lily,48
145,Lily,40
146,Lily,56
147,Lily,46
148,Lily,53
149,Lily,52
150,Open water,6
151,Open water,10
152,Open water,3
153,Beach,13
154,Beach,13
155,Beach,8
156,Beach,2
157,Beach,12
158,Beach,11
159,Lily,53
160,Lily,40
161,Lily,59
162,Lily,58
163,Lily,59
164,Open water,2
165,Open water,1
166,Beach,10
167,Beach,8
168,Ground,3
169,Ground,13
170,Beach,14
171,Beach,10
172,Beach,13
173,Beach,4
174,Beach,9
175,Lily,45
176,Lily,54
177,Lily,48
178,Open water,14
179,Open water,8
180,Beach,14
181,Beach,7
182,Ground,7
183,Ground,13
184,Ground,14
185,Ground,2
186,Ground,7
187,Beach,1
188,Beach,10
189,Beach,9
190,Beach,4
191,Beach,2
192,Beach,3
193,Beach,5
194,Beach,12
195,Ground,13
196,Ground,5